R,AB,H,2B,3B,HR,BB,SO,SB,CS
849,4804,1370,213,94,27,509,345.0,180.0,
831,5266,1579,270,69,41,596,385.0,87.0,62.0
964,4887,1352,186,93,34,502,369.0,272.0,
617,5382,1346,185,30,138,562,870.0,83.0,65.0
856,5502,1475,289,29,217,555,952.0,75.0,31.0
675,5588,1458,234,28,130,492,937.0,126.0,61.0
823,5644,1553,307,41,177,562,982.0,83.0,38.0
995,4815,1265,188,79,47,550,401.0,389.0,
675,5552,1450,264,33,147,382,1224.0,121.0,35.0
694,5201,1340,210,31,161,494,819.0,50.0,49.0
817,5372,1594,251,62,109,461,462.0,73.0,
711,5331,1266,213,12,222,621,1482.0,63.0,18.0
903,4684,1395,235,105,36,414,249.0,326.0,
541,5193,1314,195,74,39,368,494.0,106.0,
784,5481,1415,268,32,176,578,1164.0,161.0,72.0
855,5560,1432,277,29,249,619,1467.0,89.0,28.0
683,5410,1315,192,36,152,626,994.0,37.0,21.0
820,5628,1552,307,58,153,601,959.0,128.0,49.0
794,5549,1508,310,22,184,558,900.0,126.0,65.0
702,5463,1373,211,49,128,509,912.0,63.0,50.0
978,5646,1615,325,33,216,591,960.0,119.0,42.0
594,5456,1299,224,58,101,519,1066.0,72.0,64.0
729,5431,1311,271,17,228,525,1405.0,54.0,15.0
741,5577,1430,295,16,171,664,1119.0,52.0,20.0
711,5437,1404,294,25,144,522,990.0,100.0,39.0
772,5531,1388,267,19,175,523,1090.0,108.0,50.0
651,5422,1339,272,43,121,539,1238.0,155.0,46.0
823,5067,1451,231,89,47,514,497.0,319.0,
479,4068,1117,200,19,92,319,762.0,79.0,37.0
512,5204,1205,153,49,16,362,639.0,144.0,
583,5569,1404,180,44,80,422,953.0,130.0,59.0
632,5279,1380,207,56,52,574,522.0,53.0,
802,5439,1343,295,37,160,672,1292.0,172.0,47.0
528,4967,1229,152,72,15,451,573.0,171.0,
747,5499,1514,266,61,119,479,610.0,97.0,
691,5490,1505,251,47,110,404,871.0,49.0,30.0
865,5359,1517,304,55,124,683,567.0,67.0,51.0
668,5202,1471,321,52,26,381,366.0,63.0,72.0
60,688,137,20,1,0,12,45.0,27.0,9.0
901,5728,1619,376,35,194,595,1207.0,81.0,25.0
701,5441,1316,188,29,182,578,922.0,35.0,28.0
692,5521,1434,232,33,149,394,877.0,70.0,50.0
636,5360,1425,243,70,41,493,454.0,59.0,
819,4687,1310,156,65,15,410,460.0,341.0,
655,5480,1378,274,34,145,412,1299.0,84.0,29.0
375,4897,1044,110,60,28,323,608.0,113.0,
699,5075,1298,202,86,20,472,,274.0,
894,5661,1580,357,33,190,546,1081.0,37.0,25.0
649,5506,1460,262,53,63,347,496.0,36.0,
814,5461,1378,270,26,256,581,1460.0,45.0,24.0
419,2368,700,91,37,4,65,121.0,,
774,5643,1528,221,31,137,515,846.0,86.0,41.0
506,5100,1255,154,60,29,327,606.0,186.0,
718,5486,1447,275,32,148,499,968.0,96.0,43.0
557,5318,1245,185,40,126,450,1069.0,53.0,37.0
642,4050,1046,108,77,26,153,420.0,,
683,5423,1342,216,47,90,580,772.0,58.0,22.0
474,3982,990,159,54,15,406,324.0,110.0,
605,4906,1257,186,88,21,403,578.0,201.0,
791,4756,1209,155,68,20,418,536.0,311.0,
786,5468,1617,250,80,64,437,383.0,37.0,30.0
729,5419,1496,256,90,63,389,479.0,74.0,40.0
514,4725,1113,162,65,12,424,520.0,154.0,
593,5282,1299,250,39,79,456,509.0,37.0,
669,5024,1308,202,76,14,527,476.0,118.0,117.0
754,5537,1474,229,48,119,648,752.0,146.0,64.0
706,5336,1376,246,33,103,684,656.0,28.0,
463,3712,859,153,48,8,157,545.0,,
675,5575,1435,217,52,81,429,877.0,165.0,77.0
614,5508,1315,270,31,157,442,1477.0,65.0,40.0
659,5531,1460,238,29,121,497,873.0,124.0,77.0
788,5674,1555,223,61,154,469,919.0,65.0,31.0
698,4469,1158,151,59,14,457,482.0,292.0,
775,5283,1407,211,38,130,641,583.0,41.0,22.0
662,5453,1363,227,43,114,576,1024.0,235.0,99.0
703,5408,1387,251,24,152,544,842.0,140.0,51.0
718,5498,1392,243,41,158,572,1148.0,93.0,76.0
519,5028,1153,193,29,100,507,935.0,78.0,41.0
462,3813,890,129,62,20,125,561.0,,
691,5642,1487,222,32,138,528,804.0,151.0,56.0
564,5048,1239,117,88,14,289,588.0,156.0,
562,5308,1247,210,44,94,565,840.0,119.0,74.0
668,5443,1390,290,35,116,519,1032.0,92.0,56.0
738,5498,1434,269,36,110,622,784.0,160.0,57.0
896,5320,1500,272,36,131,835,510.0,43.0,25.0
619,5487,1357,259,25,103,440,1048.0,92.0,39.0
614,5499,1375,180,39,79,438,893.0,141.0,60.0
629,5552,1446,280,35,107,469,1078.0,67.0,26.0
746,5618,1515,267,47,147,445,1069.0,97.0,48.0
847,5364,1461,247,46,194,607,632.0,77.0,
720,5462,1519,296,60,69,398,514.0,48.0,
759,5510,1508,294,31,151,528,832.0,107.0,63.0
