R,AB,H,2B,3B,HR,BB,SO,SB,CS
759,5676,1586,238,66,158,405,1011.0,64.0,60.0
743,5650,1469,269,12,232,392,1412.0,32.0,13.0
610,5434,1305,231,35,161,424,1376.0,96.0,45.0
688,5564,1441,269,32,134,485,978.0,102.0,44.0
730,5237,1445,244,66,48,556,400.0,86.0,61.0
877,5685,1555,297,51,156,665,1049.0,91.0,32.0
407,3576,920,176,30,55,278,494.0,122.0,52.0
727,5294,1411,221,56,129,566,652.0,52.0,42.0
697,5557,1454,270,38,133,503,816.0,156.0,56.0
617,5486,1289,250,30,162,471,1523.0,95.0,36.0
712,5489,1444,255,47,138,468,832.0,49.0,28.0
771,5655,1499,285,24,147,601,1014.0,109.0,55.0
656,5246,1385,255,37,101,496,601.0,33.0,45.0
578,5111,1245,203,75,31,568,572.0,76.0,48.0
535,5294,1199,224,30,109,468,1294.0,91.0,34.0
763,4524,1311,219,69,22,380,216.0,194.0,
636,5408,1321,204,36,121,501,1069.0,101.0,64.0
604,3225,892,209,54,15,142,262.0,,
752,5533,1400,245,21,153,615,1189.0,113.0,53.0
713,5540,1490,259,57,65,484,650.0,218.0,106.0
921,5646,1715,357,82,123,514,470.0,66.0,53.0
664,5163,1305,212,35,89,683,561.0,52.0,43.0
673,5323,1207,221,15,219,557,1427.0,100.0,30.0
682,5291,1379,180,105,21,578,594.0,289.0,
1025,4937,1574,230,83,45,423,263.0,233.0,
665,5245,1475,265,67,74,445,489.0,48.0,
796,5357,1373,275,22,190,586,1389.0,57.0,20.0
571,5297,1321,186,36,66,499,556.0,29.0,
530,4991,1178,142,64,16,441,627.0,224.0,
744,5574,1446,250,47,129,598,911.0,114.0,41.0
759,5479,1358,276,18,221,632,1362.0,54.0,24.0
593,4520,1162,134,78,37,332,300.0,185.0,
843,5576,1588,308,93,49,481,459.0,72.0,64.0
593,5439,1367,242,36,96,470,782.0,131.0,38.0
414,2518,618,108,35,7,103,405.0,,
618,5366,1307,217,44,119,558,917.0,81.0,47.0
842,5736,1614,319,18,169,528,949.0,101.0,41.0
612,5286,1393,257,68,47,358,552.0,42.0,35.0
783,5497,1465,300,35,198,616,961.0,74.0,21.0
744,5483,1438,230,41,153,501,905.0,57.0,52.0
512,4972,1209,190,54,13,375,581.0,129.0,
1009,4725,1530,235,89,25,355,243.0,310.0,
772,5572,1493,296,25,159,568,1226.0,75.0,35.0
781,5522,1484,292,27,184,531,922.0,59.0,32.0
552,5080,1262,166,71,19,449,,176.0,
725,5579,1442,206,35,197,441,889.0,55.0,49.0
574,5474,1300,156,25,155,450,914.0,53.0,41.0
740,5000,1329,249,42,128,502,800.0,105.0,40.0
833,5577,1531,331,34,202,568,1181.0,44.0,33.0
710,5523,1428,325,41,165,640,1095.0,104.0,43.0
729,5576,1437,219,20,211,524,939.0,69.0,45.0
682,5537,1387,266,23,159,550,1036.0,81.0,44.0
915,5660,1604,325,21,244,663,1014.0,111.0,28.0
792,5545,1424,213,25,179,717,952.0,84.0,39.0
670,5193,1371,202,96,17,545,529.0,190.0,
816,5580,1482,316,19,221,564,1132.0,184.0,81.0
758,5245,1504,220,75,95,497,532.0,62.0,59.0
601,5251,1385,196,100,26,312,477.0,153.0,
536,5114,1238,170,60,12,535,597.0,185.0,
912,5372,1651,316,105,78,499,363.0,159.0,63.0
